True,Predicted,Residuals,Percentage_Error,RPE,SNR
17.628365,15.977158,1.651207,9.366762,9.366762,16.430854684632802
43.16139,44.463535,-1.3021469,-3.0169253,3.0169253,15.024157239686573
22.714815,20.116236,2.5985794,11.44002,11.44002,17.943397309604475
0.04691717,0.050059803,-0.0031426325,-6.6982565,6.6982565,17.824992786916656
24.71965,22.822279,1.8973713,7.675559,7.675559,13.964223914020792
2.4092884,0.04973784,2.3595505,97.93558,97.93558,17.81336642483827
0.04139709,0.050692413,-0.009295322,-22.454046,22.454046,18.33116103638957
0.046555504,0.051151257,-0.004595753,-9.871556,9.871556,17.768994844997014
2.5144963,0.05048055,2.4640157,97.99242,97.99242,16.25300000933063
0.043358568,0.050354116,-0.0069955476,-16.134176,16.134176,19.791072494749923
3.5816147,0.049882147,3.5317326,98.60727,98.60727,21.313401975413157
38.675682,40.714382,-2.0387,-5.271271,5.271271,19.949038427929647
0.056809526,0.050002176,0.0068073496,11.98276,11.98276,15.30234001115753
52.65985,55.062965,-2.4031143,-4.5634656,4.5634656,19.32800094322535
0.052145664,0.05004127,0.0021043941,4.035607,4.035607,17.823647127742973
0.046820875,0.050104547,-0.003283672,-7.013265,7.013265,17.018122871805396
0.04925408,0.04998851,-0.0007344298,-1.4911045,1.4911045,14.673437869695931
0.042906094,0.050776344,-0.007870249,-18.342964,18.342964,16.06029305841115
0.056590594,0.050181378,0.0064092167,11.325586,11.325586,15.407910944721875
0.30059105,0.049788482,0.25080258,83.43648,83.43648,17.02582184626698
29.182264,27.286232,1.8960323,6.497208,6.497208,20.59945573726059
46.38772,47.05072,-0.663002,-1.429262,1.429262,19.512565712970627
0.059874456,0.04958449,0.010289967,17.185904,17.185904,18.86417996961246
0.04970013,0.050126985,-0.00042685494,-0.85886085,0.85886085,19.166251206909138
1.9869447,0.050800797,1.9361439,97.44327,97.44327,17.84975213613062
1.8873336,0.050277375,1.8370563,97.33607,97.33607,18.123024906378607
19.470158,20.692305,-1.222147,-6.277027,6.277027,16.95379838623053
0.057185534,0.049528822,0.007656712,13.389246,13.389246,18.965352246306246
0.044768546,0.050426237,-0.0056576915,-12.637648,12.637648,16.37667579013441
0.0582302,0.050583396,0.007646803,13.132022,13.132022,19.158402508395913
16.480036,14.790663,1.689373,10.251027,10.251027,22.275020065161495
6.0908985,0.05091931,6.039979,99.16401,99.16401,13.957645063500925
0.050726935,0.04982917,0.00089776516,1.7697997,1.7697997,19.519020717572303
0.04667556,0.049910065,-0.0032345057,-6.9297633,6.9297633,17.56466501627763
25.408846,23.697554,1.7112923,6.7350254,6.7350254,17.39960660702129
2.1370819,7.057857,-4.9207754,-230.25674,230.25674,20.03077508942618
0.040988196,0.05047179,-0.009483594,-23.13738,23.13738,18.359892970097633
0.057499625,0.049434368,0.008065257,14.026626,14.026626,17.267538472947734
