Epoch,Learning Rate,Training Loss,Validation Loss,Loss Difference,Polarization
1,9.999999747378752e-05,0.17090879380702972,0.08410593122243881,0.08680286258459091,0.5136223
2,9.999999747378752e-05,0.08610056340694427,0.03849982097744942,0.04760074242949486,0.5095747
3,9.999999747378752e-05,0.0532352514564991,0.02495281770825386,0.02828243374824524,0.5005787
4,9.999999747378752e-05,0.04235249012708664,0.018125468865036964,0.024227021262049675,0.5104269
5,9.999999747378752e-05,0.03759707883000374,0.014291252009570599,0.02330582682043314,0.51030535
6,9.999999747378752e-05,0.03508801758289337,0.013448006473481655,0.021640011109411716,0.5106322
7,9.999999747378752e-05,0.03347952663898468,0.008329520002007484,0.025150006636977196,0.5093661
8,9.999999747378752e-05,0.032052479684352875,0.012781774625182152,0.019270705059170723,0.5112729
9,9.999999747378752e-05,0.031374868005514145,0.008849802426993847,0.022525065578520298,0.509033
10,9.999999747378752e-05,0.030615229159593582,0.007294955663383007,0.023320273496210575,0.51287216
11,9.999999747378752e-05,0.02978745475411415,0.007966019213199615,0.021821435540914536,0.51062495
12,9.999999747378752e-05,0.02955310046672821,0.008592067286372185,0.020961033180356026,0.5138953
13,9.999999747378752e-05,0.02893226221203804,0.008239185437560081,0.02069307677447796,0.5128881
14,9.999999747378752e-05,0.02870383858680725,0.012681741267442703,0.016022097319364548,0.5070093
15,4.999999873689376e-05,0.028508048504590988,0.011735673062503338,0.01677237544208765,0.50818217
16,4.999999873689376e-05,0.027648480609059334,0.008467686362564564,0.01918079424649477,0.5109526
17,4.999999873689376e-05,0.027281340211629868,0.010943283326923847,0.01633805688470602,0.50649863
18,4.999999873689376e-05,0.02712244912981987,0.007862952537834644,0.019259496591985226,0.5117096
