Epoch,Learning Rate,Training Loss,Validation Loss,Loss Difference
1,0.009999999776482582,0.05000486224889755,0.022295180708169937,0.027709681540727615
2,0.009999999776482582,0.021147852763533592,0.017825491726398468,0.003322361037135124
3,0.009999999776482582,0.01766023226082325,0.011681709438562393,0.005978522822260857
4,0.009999999776482582,0.017043206840753555,0.010940791107714176,0.006102415733039379
5,0.009999999776482582,0.01638086512684822,0.010887574404478073,0.005493290722370148
6,0.009999999776482582,0.016745727509260178,0.006380951032042503,0.010364776477217674
7,0.009999999776482582,0.016521358862519264,0.009944388642907143,0.006576970219612122
8,0.009999999776482582,0.01650838367640972,0.009375556372106075,0.007132827304303646
9,0.009999999776482582,0.017227444797754288,0.016926798969507217,0.0003006458282470703
10,0.009999999776482582,0.01784912310540676,0.006818064954131842,0.01103105815127492
11,0.004999999888241291,0.019043998792767525,0.03689999505877495,-0.017855996266007423
12,0.004999999888241291,0.017114536836743355,0.012366977520287037,0.004747559316456318
13,0.004999999888241291,0.01682625338435173,0.008952997624874115,0.007873255759477615
14,0.004999999888241291,0.016960011795163155,0.016639070585370064,0.0003209412097930908
