True,Predicted,Residuals,Percentage_Error,RPE,SNR
0.06981521,0.06242096,0.0073942505,10.591174,10.591174,19.59614849074615
0.49302012,0.441077,0.051943123,10.535701,10.535701,18.914647677913774
0.00045723474,-0.01819031,0.018647544,4078.3306,4078.3306,18.995821601891056
0.3180315,0.35336626,-0.035334766,-11.110461,11.110461,21.50821963199938
0.12223632,0.16822949,-0.04599317,-37.62644,37.62644,18.15584400125455
0.00049596705,-0.017649889,0.018145856,3658.682,3658.682,12.643823785126
0.00046850488,-0.01711712,0.017585626,3753.563,3753.563,19.41725647264684
0.028195413,-0.013513175,0.04170859,147.92685,147.92685,19.544882624871924
0.0004883381,-0.0151438685,0.015632207,3201.1033,3201.1033,17.99352069586843
0.24589461,0.25903708,-0.013142467,-5.344756,5.344756,18.21759609279476
0.00053930667,-0.01897053,0.019509837,3617.5776,3617.5776,17.66043820416451
0.020304129,-0.014848587,0.035152715,173.13087,173.13087,19.074727422427763
0.22209878,0.2616105,-0.039511725,-17.790157,17.790157,18.590272223414793
0.0005799962,-0.014817757,0.015397753,2654.8022,2654.8022,18.030029440423792
0.16025366,0.19048114,-0.030227482,-18.862272,18.862272,15.555674016549347
0.0005579637,-0.01559626,0.016154224,2895.2107,2895.2107,15.165499104755087
0.0005032118,-0.016937777,0.01744099,3465.934,3465.934,20.0244238783855
0.1387913,0.18704046,-0.04824917,-34.763832,34.763832,18.742771626804508
0.00054366805,-0.010871922,0.01141559,2099.7354,2099.7354,22.293388403728386
0.06332303,0.010106142,0.053216886,84.04034,84.04034,14.880555429797907
0.0005088137,-0.014763084,0.015271898,3001.4714,3001.4714,17.9669477258468
0.00040536645,-0.014049214,0.014454581,3565.806,3565.806,17.911691888360767
0.06906073,-0.005882566,0.0749433,108.51797,108.51797,17.136142963292965
0.0005290722,-0.011090283,0.0116193555,2196.1758,2196.1758,18.990150546675764
0.08788008,0.18607868,-0.0981986,-111.74159,111.74159,18.496578446978077
0.00043774708,-0.015929598,0.016367346,3738.996,3738.996,19.936670276817566
0.00056980405,-0.017773606,0.01834341,3219.2485,3219.2485,18.648983841675385
0.0004389592,-0.018885065,0.019324023,4402.237,4402.237,15.075250705990799
0.0005314342,-0.01655572,0.017087154,3215.2908,3215.2908,19.13696519754196
0.00054373645,-0.012577166,0.013120903,2413.0996,2413.0996,15.215156708403214
0.0004214579,-0.015441616,0.015863074,3763.8572,3763.8572,18.360428644865998
0.55383587,0.48780143,0.066034436,11.923106,11.923106,17.89119387314512
0.06262506,-0.013527927,0.07615299,121.60146,121.60146,17.161071209690864
0.45384026,0.41934896,0.0344913,7.599877,7.599877,17.952421958151653
0.13076065,0.17654343,-0.045782775,-35.012653,35.012653,19.84857836780632
0.00049997243,-0.016905926,0.0174059,3481.3716,3481.3716,20.79758576744855
0.15618424,0.21808775,-0.061903507,-39.634926,39.634926,16.942267936720498
0.00051638857,-0.016439904,0.016956292,3283.6304,3283.6304,19.95671462050003
0.00042200668,-0.01937012,0.019792126,4690.0034,4690.0034,18.906379423270444
0.4632232,0.4153052,0.047917992,10.344472,10.344472,18.06506969860824
0.19696392,0.25296474,-0.056000814,-28.432018,28.432018,18.92135285520027
0.29061723,0.29606652,-0.005449295,-1.8750764,1.8750764,19.54302640363297
0.17351869,0.17834131,-0.0048226267,-2.7793126,2.7793126,17.859762292058697
0.06406365,0.15167896,-0.08761531,-136.76291,136.76291,18.476780806101335
0.53066,0.4816925,0.04896748,9.227656,9.227656,18.683835131227976
0.0005696813,-0.01857581,0.01914549,3360.7373,3360.7373,16.928871214211092
0.000502141,-0.018126637,0.018628778,3709.8699,3709.8699,16.086171775536393
0.07987866,0.042254265,0.037624393,47.101933,47.101933,21.0460560732143
