EventNum,Polarization,Area,CalConst,Baseline,QMeterNum,QMeterName,MagCurrent,EIPFreq,HPFreq,uWaveFreq,uWavePower,FMAmplitude,FMOffset,ScanSweeps,ScanSteps,ScanFreq,RFFreq,RFMod,RFPower,YaleGain,DCLevel,He3Press,He3Temp,He4Temp,He4Press,SepFlow,MainFlow,MagLevel,RFVolts,LN2Level,VacPress,Comment,TopChip,BottomChip,CarbonGlass,Collector
1719435114,,,-5.747100E+0,0,9,CH9,,,,,,,,5000,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.070859,656.960000,10.680000,1.970000,,,,,,,,,
1719435502,,,-5.747100E+0,0,9,CH9,,,,,,,,5000,500,15287,213.000,400,275,0,,-13.587000,0.000000,4.071291,657.240000,10.680000,1.710000,,,,,,,,,
1719435859,,,-4.950100E+0,0,7,CH7,,,,,,,,5000,500,15287,213.000,400,275,0,,-13.589000,0.000000,4.002234,613.580000,10.660000,5.010000,,,,,,,,,
1719437015,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.585000,0.000000,3.957959,586.590000,10.660000,2.830000,,,,,,,,,
1719437102,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.058326,648.880000,10.680000,2.220000,,,,,,,,,
1719437204,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.586000,0.000000,3.971216,594.590000,10.680000,18.100000,,,,,,,,,
1719437272,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.587000,0.000000,3.905864,555.880000,10.680000,16.170000,,,,,,,,,
1719437293,,,-5.747100E+0,0,9,CH9,,,,,,,,100,500,15287,213.000,400,275,0,,-13.586000,0.000000,3.907868,557.040000,10.660000,11.780000,,,,,,,,,
1719437348,,,-5.747100E+0,0,9,CH9,,,,,,,,100,500,15287,213.000,400,275,0,,-13.587000,0.000000,3.948940,581.190000,10.640000,4.250000,,,,,,,,,
1719437364,,,-5.747100E+0,0,9,CH9,,,,,,,,100,500,15287,213.000,400,275,0,,-13.587000,0.000000,3.968838,593.150000,10.640000,3.590000,,,,,,,,,
1719437379,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.587000,0.000000,3.986710,604.030000,10.650000,1.930000,,,,,,,,,
1719437411,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.023535,626.830000,10.660000,2.210000,,,,,,,,,
1719437433,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.047846,642.180000,10.640000,1.740000,,,,,,,,,
1719437460,,,-4.950100E+0,0,7,CH7,,,,,,,,500,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.072325,657.910000,10.680000,1.670000,,,,,,,,,
1719437538,,,-5.747100E+0,0,9,CH9,,,,,,,,500,500,15287,213.000,400,275,0,,-13.587000,0.000000,4.001311,613.010000,10.650000,14.550000,,,,,,,,,
1719437821,,,-4.950100E+0,0,7,CH7,,,,,,,,5000,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.041692,638.270000,10.640000,2.080000,,,,,,,,,
1719438182,,,-5.747100E+0,0,9,CH9,,,,,,,,5000,500,15287,213.000,400,275,0,,-13.588000,0.000000,4.008662,617.560000,10.680000,2.800000,,,,,,,,,
1719608757,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.565000,0.000000,2.002628,23.659000,10.630000,7.610000,,,,,,,,,
1719608884,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.564000,0.000000,1.996881,23.262000,10.620000,20.460000,,,,,,,,,
1719609040,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.565000,0.000000,1.999640,23.452000,10.620000,17.890000,,,,,,,,,
1719609172,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.566000,0.000000,2.003002,23.685000,10.620000,7.630000,,,,,,,,,
1719609188,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.564000,0.000000,2.001749,23.598000,10.660000,12.490000,,,,,,,,,
1719609224,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.565000,0.000000,1.996881,23.262000,10.610000,17.620000,,,,,,,,,
1719609240,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.564000,0.000000,2.000247,23.494000,10.640000,9.880000,,,,,,,,,
1719609316,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.565000,0.000000,2.000377,23.503000,10.640000,9.870000,,,,,,,,,
1719609386,,,-6.437100E+0,0,9,CH9,,,,,,,,100,500,15287,213.000,400,275,0,,-13.565000,0.000000,1.999654,23.453000,10.640000,11.000000,,,,,,,,,
1719609464,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.566000,0.000000,2.000522,23.513000,10.650000,11.110000,,,,,,,,,
1719610856,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.565000,0.000000,2.002988,23.684000,10.650000,7.040000,,,,,,,,,
1719610963,,,-4.950100E+0,0,7,CH7,,,,,,,,100,500,15287,213.000,400,275,0,,-13.564000,0.000000,1.994123,23.073000,10.610000,22.210000,,,,,,,,,
1719610994,,,-4.950100E+0,0,7,CH7,,,,,,,,500,500,15287,213.000,400,275,0,,-13.563000,0.000000,2.005055,23.828000,10.660000,4.370000,,,,,,,,,
